Longitude (x),Latitude (y),Station Name,Climate ID,Date,Year,Month,Day,Data Quality,valueMax,Max Temp Flag,valueMin,Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2006-01-01,2006,1,1,,1.3,,-5.4,,-2.1,,20.1,,0,,0,,0,T,0,T,3,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2006-01-02,2006,1,2,,2.5,,-0.1,,1.2,,16.8,,0,,0.6,,0,,0.6,,1,,9,,48,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2006-01-03,2006,1,3,,2.6,,0.3,,1.5,,16.5,,0,,0,T,0,,0,T,0,T,9,,44,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2006-01-04,2006,1,4,,5.4,,1.6,,3.5,,14.5,,0,,3.6,,0,,3.6,,0,T,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2006-01-05,2006,1,5,,4.2,,-3.5,,0.4,,17.6,,0,,3.8,,0,T,3.8,,0,T,33,,46,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2006-01-06,2006,1,6,,-3.4,,-9.3,,-6.4,,24.4,,0,,0,,0,T,0,T,0,T,34,,39,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2006-01-07,2006,1,7,,-0.4,,-5.8,,-3.1,,21.1,,0,,0,,2.6,,2.6,,0,T,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2006-01-08,2006,1,8,,2.6,,-6.5,,-2,,20,,0,,0,,0,,0,,2,,10,,35,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2006-01-09,2006,1,9,,3.1,,0.6,,1.9,,16.1,,0,,1,,0.4,,1.4,,0,T,29,,37,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2006-01-10,2006,1,10,,3.5,,0.1,,1.8,,16.2,,0,,0,T,0,,0,T,0,T,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2006-01-11,2006,1,11,,8.8,,1.6,,5.2,,12.8,,0,,1.4,,0,,1.4,,0,T,22,,33,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2006-01-12,2006,1,12,,9.5,,3.3,,6.4,,11.6,,0,,0,,0,,0,,0,T,25,,41,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2006-01-13,2006,1,13,,10.1,,3.1,,6.6,,11.4,,0,,0.8,,0,,0.8,,0,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2006-01-14,2006,1,14,,6.5,,-8.3,,-0.9,,18.9,,0,,0.4,,0.2,,0.6,,0,T,34,,82,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2006-01-15,2006,1,15,,-7.9,,-12.7,,-10.3,,28.3,,0,,0,,0.2,,0.2,,0,T,34,,41,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2006-01-16,2006,1,16,,-3.9,,-13.1,,-8.5,,26.5,,0,,0,,0,,0,,0,T,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2006-01-17,2006,1,17,,4.4,,-6,,-0.8,,18.8,,0,,18.6,,0,,18.6,,0,,10,,52,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2006-01-18,2006,1,18,,4.7,,-2.8,,1,,17,,0,,6.2,,0.6,,7,,0,,27,,65,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2006-01-19,2006,1,19,,3.8,,-3.4,,0.2,,17.8,,0,,0,,0,T,0,T,0,T,25,,33,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2006-01-20,2006,1,20,,11.4,,0.6,,6,,12,,0,,2.4,,0,,2.4,,0,,32,,37,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2006-01-21,2006,1,21,,1.1,,-4.4,,-1.7,,19.7,,0,,9.6,,2.6,,12.2,,0,,33,,56,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2006-01-22,2006,1,22,,2.8,,-6.2,,-1.7,,19.7,,0,,0,,0,,0,,0,T,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2006-01-23,2006,1,23,,3.6,,-2.8,,0.4,,17.6,,0,,0,,0,,0,,0,T,32,,32,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2006-01-24,2006,1,24,,4.8,,-3.4,,0.7,,17.3,,0,,0,T,1.2,,1.2,,0,,24,,56,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2006-01-25,2006,1,25,,1.9,,-7.7,,-2.9,,20.9,,0,,0,T,0,T,0,T,0,,32,,67,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2006-01-26,2006,1,26,,-3.4,,-12.3,,-7.9,,25.9,,0,,0,,0,T,0,T,0,T,33,,50,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2006-01-27,2006,1,27,,6.6,,-8.6,,-1,,19,,0,,0,,0,,0,,0,,23,,35,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2006-01-28,2006,1,28,,10.4,,1.3,,5.9,,12.1,,0,,0.2,,0,,0.2,,0,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2006-01-29,2006,1,29,,8.1,,2.9,,5.5,,12.5,,0,,15.8,,0,,15.8,,0,,10,,44,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2006-01-30,2006,1,30,,9.1,,3.1,,6.1,,11.9,,0,,2.2,,0,,2.2,,0,,23,,44,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2006-01-31,2006,1,31,,3.2,,-0.8,,1.2,,16.8,,0,,0,,0,T,0,T,0,,27,,37,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2006-02-01,2006,2,1,,3.1,,-3.1,,0,,18,,0,,0,,0,T,0,T,0,,,,<31,
