Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Date,Data Quality,valueMax,Max Temp Flag,valueMin,Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-114.02,51.11,CALGARY INT'L A,3031093,2006-01-01,2006,1,1,2006-01-01,,8.1,,-11.7,,-1.8,,19.8,,0,,0,,0,,0,,0,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2006-01-02,2006,1,2,2006-01-02,,5.2,,-9.2,,-2,,20,,0,,0,,0,,0,,0,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2006-01-03,2006,1,3,2006-01-03,,6.5,,-8.3,,-0.9,,18.9,,0,,0,,0,,0,,0,,27,E,32,E
-114.02,51.11,CALGARY INT'L A,3031093,2006-01-04,2006,1,4,2006-01-04,,6.8,,-3.6,,1.6,,16.4,,0,,0,,0,,0,,0,,27,E,39,E
-114.02,51.11,CALGARY INT'L A,3031093,2006-01-05,2006,1,5,2006-01-05,,12.1,,-5,,3.6,,14.4,,0,,0,,0,,0,,0,,33,E,41,E
-114.02,51.11,CALGARY INT'L A,3031093,2006-01-06,2006,1,6,2006-01-06,,7.3,,-0.9,,3.2,,14.8,,0,,0.2,,0,,0.2,,0,,25,E,46,E
-114.02,51.11,CALGARY INT'L A,3031093,2006-01-07,2006,1,7,2006-01-07,,6.3,,-3.5,,1.4,,16.6,,0,,0,,0,T,0,T,0,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2006-01-08,2006,1,8,2006-01-08,,0.8,,-7.7,,-3.5,,21.5,,0,,0,,0,T,0,T,0,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2006-01-09,2006,1,9,2006-01-09,,7.9,,-7.1,,0.4,,17.6,,0,,0,,0,,0,,0,,25,E,33,E
-114.02,51.11,CALGARY INT'L A,3031093,2006-01-10,2006,1,10,2006-01-10,,2.2,,-9.1,,-3.5,,21.5,,0,,0,,0,T,0,T,0,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2006-01-11,2006,1,11,2006-01-11,,-1.9,,-8.7,,-5.3,,23.3,,0,,0,,1,,0.8,,0,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2006-01-12,2006,1,12,2006-01-12,,2.2,,-10.5,,-4.2,,22.2,,0,,0,,0,,0,,1,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2006-01-13,2006,1,13,2006-01-13,,5.7,,-10.9,,-2.6,,20.6,,0,,0,,0,,0,,0,T,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2006-01-14,2006,1,14,2006-01-14,,5.4,,-9.3,,-2,,20,,0,,0,,0,T,0,T,0,T,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2006-01-15,2006,1,15,2006-01-15,,0.5,,-10.3,,-4.9,,22.9,,0,,0,,1.4,,1,,0,T,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2006-01-16,2006,1,16,2006-01-16,,1.6,,-12.8,,-5.6,,23.6,,0,,0,,0,,0,,0,T,26,E,37,E
-114.02,51.11,CALGARY INT'L A,3031093,2006-01-17,2006,1,17,2006-01-17,,6.8,,-6.5,,0.2,,17.8,,0,,0,,0,,0,,0,,26,E,69,E
-114.02,51.11,CALGARY INT'L A,3031093,2006-01-18,2006,1,18,2006-01-18,,6,,-6.5,,-0.3,,18.3,,0,,0,,0,T,0,T,0,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2006-01-19,2006,1,19,2006-01-19,,-2,,-11.4,,-6.7,,24.7,,0,,0,,0,T,0,T,0,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2006-01-20,2006,1,20,2006-01-20,,-3.1,,-11.9,,-7.5,,25.5,,0,,0,,1.6,,1.4,,0,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2006-01-21,2006,1,21,2006-01-21,,-1.8,,-14,,-7.9,,25.9,,0,,0,,0,T,0,T,1,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2006-01-22,2006,1,22,2006-01-22,,6.5,,-12.2,,-2.9,,20.9,,0,,0,,0,,0,,0,T,26,E,57,E
-114.02,51.11,CALGARY INT'L A,3031093,2006-01-23,2006,1,23,2006-01-23,,11,,-3.8,,3.6,,14.4,,0,,0,,0,,0,,0,,28,E,65,E
-114.02,51.11,CALGARY INT'L A,3031093,2006-01-24,2006,1,24,2006-01-24,,12.1,,-6.1,,3,,15,,0,,0,,0,,0,,0,,24,E,35,E
-114.02,51.11,CALGARY INT'L A,3031093,2006-01-25,2006,1,25,2006-01-25,,13,,-3.6,,4.7,,13.3,,0,,0,,0,,0,,0,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2006-01-26,2006,1,26,2006-01-26,,6.5,,-4.5,,1,,17,,0,,0,,0,,0,,0,,27,E,63,E
-114.02,51.11,CALGARY INT'L A,3031093,2006-01-27,2006,1,27,2006-01-27,,5.2,,-6.1,,-0.5,,18.5,,0,,0,,0,,0,,0,,27,E,41,E
-114.02,51.11,CALGARY INT'L A,3031093,2006-01-28,2006,1,28,2006-01-28,,1,,-8.9,,-4,,22,,0,,0,,0,,0,,0,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2006-01-29,2006,1,29,2006-01-29,,5.1,,-5.6,,-0.3,,18.3,,0,,0,,0,,0,,0,,28,E,37,E
-114.02,51.11,CALGARY INT'L A,3031093,2006-01-30,2006,1,30,2006-01-30,,8.7,,-6.6,,1.1,,16.9,,0,,0,,0,T,0,T,0,,34,E,32,E
-114.02,51.11,CALGARY INT'L A,3031093,2006-01-31,2006,1,31,2006-01-31,,3.4,,-13.5,,-5.1,,23.1,,0,,0,,6,,2.8,,6,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2006-02-01,2006,2,1,2006-02-01,,5.9,,-8.3,,-1.2,,19.2,,0,,0,,0,,0,,4,,27,E,46,E
-114.02,51.11,CALGARY INT'L A,3031093,2006-02-02,2006,2,2,2006-02-02,,4.6,,-8.8,,-2.1,,20.1,,0,,0,,0,,0,,2,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2006-02-03,2006,2,3,2006-02-03,,7.7,,-5.1,,1.3,,16.7,,0,,0,,0,,0,,0,T,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2006-02-04,2006,2,4,2006-02-04,,11.8,,-2.6,,4.6,,13.4,,0,,0,,0,,0,,0,,27,E,50,E
-114.02,51.11,CALGARY INT'L A,3031093,2006-02-05,2006,2,5,2006-02-05,,3,,-4.7,,-0.9,,18.9,,0,,0,,0,,0,,0,,34,E,44,E
-114.02,51.11,CALGARY INT'L A,3031093,2006-02-06,2006,2,6,2006-02-06,,-0.2,,-10.9,,-5.6,,23.6,,0,,0,,0,,0,,0,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2006-02-07,2006,2,7,2006-02-07,,13.8,,-8.7,,2.6,,15.4,,0,,0,,0,,0,,0,,27,E,39,E
-114.02,51.11,CALGARY INT'L A,3031093,2006-02-08,2006,2,8,2006-02-08,,11.4,,-4.3,,3.6,,14.4,,0,,0,,0,T,0,T,0,,27,E,61,E
-114.02,51.11,CALGARY INT'L A,3031093,2006-02-09,2006,2,9,2006-02-09,,1.4,,-8.3,,-3.5,,21.5,,0,,0,,0,,0,,0,,32,E,67,E
