Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Date,Data Quality,valueMax,Max Temp Flag,valueMin,Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-114.02,51.11,CALGARY INT'L A,3031093,2005-01-01,2005,1,1,2005-01-01,,-20.5,,-23.5,,-22,,40,,0,,0,,3,,2.4,,5,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2005-01-02,2005,1,2,2005-01-02,,-15.4,,-23.9,,-19.7,,37.7,,0,,0,,0,T,0,T,6,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2005-01-03,2005,1,3,2005-01-03,,-13.3,,-26.3,,-19.8,,37.8,,0,,0,,0.4,,0.2,,6,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2005-01-04,2005,1,4,2005-01-04,,-15,,-26.5,,-20.8,,38.8,,0,,0,,0,,0,,5,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2005-01-05,2005,1,5,2005-01-05,,-2.8,,-22.3,,-12.6,,30.6,,0,,0,,0,,0,,5,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2005-01-06,2005,1,6,2005-01-06,,0.2,,-13.5,,-6.7,,24.7,,0,,0,,5.8,,2.8,,4,,1,E,65,E
-114.02,51.11,CALGARY INT'L A,3031093,2005-01-07,2005,1,7,2005-01-07,,-13.5,,-18.9,,-16.2,,34.2,,0,,0,,1.4,,1,,6,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2005-01-08,2005,1,8,2005-01-08,,-17.4,,-20.1,,-18.8,,36.8,,0,,0,,4.8,,3.2,,7,,34,E,32,E
-114.02,51.11,CALGARY INT'L A,3031093,2005-01-09,2005,1,9,2005-01-09,,-19.7,,-29.2,,-24.5,,42.5,,0,,0,,0,T,0,T,8,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2005-01-10,2005,1,10,2005-01-10,,-9.2,,-25.9,,-17.6,,35.6,,0,,0,,0,,0,,7,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2005-01-11,2005,1,11,2005-01-11,,-5.4,,-20.4,,-12.9,,30.9,,0,,0,,0,,0,,7,,26,E,44,E
-114.02,51.11,CALGARY INT'L A,3031093,2005-01-12,2005,1,12,2005-01-12,,-5.4,,-33.6,,-19.5,,37.5,,0,,0,,1.2,,0.6,,5,,36,E,72,E
-114.02,51.11,CALGARY INT'L A,3031093,2005-01-13,2005,1,13,2005-01-13,,-21.6,,-35,,-28.3,,46.3,,0,,0,,0,T,0,T,5,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2005-01-14,2005,1,14,2005-01-14,,-19.8,,-32.5,,-26.2,,44.2,,0,,0,,0,,0,,4,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2005-01-15,2005,1,15,2005-01-15,,-13.4,,-31.4,,-22.4,,40.4,,0,,0,,0,,0,,3,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2005-01-16,2005,1,16,2005-01-16,,-0.2,,-22.8,,-11.5,,29.5,,0,,0,,0,,0,,3,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2005-01-17,2005,1,17,2005-01-17,,8,,-4.4,,1.8,,16.2,,0,,0,,0,,0,,2,,26,E,33,E
-114.02,51.11,CALGARY INT'L A,3031093,2005-01-18,2005,1,18,2005-01-18,,8.3,,-2.8,,2.8,,15.2,,0,,0,,0,,0,,1,,28,E,48,E
-114.02,51.11,CALGARY INT'L A,3031093,2005-01-19,2005,1,19,2005-01-19,,10.7,,-5.7,,2.5,,15.5,,0,,0,,0,,0,,0,T,27,E,63,E
-114.02,51.11,CALGARY INT'L A,3031093,2005-01-20,2005,1,20,2005-01-20,,6,,-4.3,,0.9,,17.1,,0,,0,,0,T,0,T,0,T,36,E,39,E
-114.02,51.11,CALGARY INT'L A,3031093,2005-01-21,2005,1,21,2005-01-21,,-3.3,,-13.5,,-8.4,,26.4,,0,,0,,0,T,0,T,0,T,35,E,63,E
-114.02,51.11,CALGARY INT'L A,3031093,2005-01-22,2005,1,22,2005-01-22,,10.3,,-11.9,,-0.8,,18.8,,0,,0,,0,T,0,T,0,T,16,E,32,E
-114.02,51.11,CALGARY INT'L A,3031093,2005-01-23,2005,1,23,2005-01-23,,12,,4.1,,8.1,,9.9,,0,,0,,0,,0,,0,T,24,E,48,E
-114.02,51.11,CALGARY INT'L A,3031093,2005-01-24,2005,1,24,2005-01-24,,13,,0.6,,6.8,,11.2,,0,,0,,0,,0,,0,T,26,E,44,E
-114.02,51.11,CALGARY INT'L A,3031093,2005-01-25,2005,1,25,2005-01-25,,4.4,,-1.5,,1.5,,16.5,,0,,0,,0,,0,,0,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2005-01-26,2005,1,26,2005-01-26,,-0.7,,-3.9,,-2.3,,20.3,,0,,0,,0,T,0,T,0,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2005-01-27,2005,1,27,2005-01-27,,10.4,,-4.3,,3.1,,14.9,,0,,0,,0,,0,,0,,27,E,37,E
-114.02,51.11,CALGARY INT'L A,3031093,2005-01-28,2005,1,28,2005-01-28,,1.5,,-6.1,,-2.3,,20.3,,0,,0,T,0,,0,T,0,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2005-01-29,2005,1,29,2005-01-29,,9.5,,-7.1,,1.2,,16.8,,0,,0,T,0,,0,T,0,,,,<31,
-114.02,51.11,CALGARY INT'L A,3031093,2005-01-30,2005,1,30,2005-01-30,,6.7,,-2.3,,2.2,,15.8,,0,,0,,0,,0,,0,,27,E,35,E
-114.02,51.11,CALGARY INT'L A,3031093,2005-01-31,2005,1,31,2005-01-31,,12.9,,-0.7,,6.1,,11.9,,0,,0,,0,,0,,0,,27,E,44,E
-114.02,51.11,CALGARY INT'L A,3031093,2005-02-01,2005,2,1,2005-02-01,,10,,-2,,4,,14,,0,,0,T,0,,0,T,0,,26,E,54,E
-114.02,51.11,CALGARY INT'L A,3031093,2005-02-02,2005,2,2,2005-02-02,,14.4,,2.6,,8.5,,9.5,,0,,0,,0,,0,,0,,24,E,37,E
