Longitude (x),Latitude (y),Station Name,Climate ID,Date,Year,Month,Day,Data Quality,valueMax,Max Temp Flag,valueMin,Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-01-01,2000,1,1,,3.4,,-13,,-4.8,,22.8,,0,,0,,0,T,0,T,17,,,,<31,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-01-02,2000,1,2,,6.4,,-2.8,,1.8,,16.2,,0,,5.2,,0.6,,5.4,,10,,9,,39,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-01-03,2000,1,3,,6.9,,-4.8,,1.1,,16.9,,0,,0.2,,1.4,,1.6,,6,,28,,57,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-01-04,2000,1,4,,8.4,,-8.9,,-0.3,,18.3,,0,,11.6,,3.8,,15.4,,7,,26,,74,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-01-05,2000,1,5,,-8.8,,-13.9,,-11.4,,29.4,,0,,0,,0,,0,,4,,30,,48,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-01-06,2000,1,6,,1.6,,-13.6,,-6,,24,,0,,0,,0,T,0,T,4,,21,,41,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-01-07,2000,1,7,,1.5,,-6.9,,-2.7,,20.7,,0,,0,,1.4,,1.4,,4,,28,,54,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-01-08,2000,1,8,,2.2,,-10.2,,-4,,22,,0,,0,,0,,0,,5,,20,,46,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-01-09,2000,1,9,,3.8,,1.3,,2.6,,15.4,,0,,0,,0,,0,,3,,21,,33,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-01-10,2000,1,10,,4.4,,0.8,,2.6,,15.4,,0,,15.8,,0,,15.8,,1,,10,,39,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-01-11,2000,1,11,,4.7,,-1.6,,1.6,,16.4,,0,,0.8,,0,T,0.8,,0,T,30,,65,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-01-12,2000,1,12,,-1.4,,-13,,-7.2,,25.2,,0,,0,,0,T,0,T,0,T,28,,48,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-01-13,2000,1,13,,-13,,-19.6,,-16.3,,34.3,,0,,0,,0,,0,,0,T,31,,52,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-01-14,2000,1,14,,-15,,-20.9,,-18,,36,,0,,0,,0,,0,,0,T,28,,43,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-01-15,2000,1,15,,-11.8,,-20.9,,-16.4,,34.4,,0,,0,,2,,1,,0,T,9,,32,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-01-16,2000,1,16,,-4.9,,-24.3,,-14.6,,32.6,,0,,0,,7.4,,3.4,,6,,31,,70,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-01-17,2000,1,17,,-19,,-27.1,,-23.1,,41.1,,0,,0,,0,,0,,7,,32,,54,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-01-18,2000,1,18,,-17.7,,-24.2,,-21,,39,,0,,0,,0,,0,,7,,,,<31,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-01-19,2000,1,19,,-10,,-22.8,,-16.4,,34.4,,0,,0,,0,T,0,T,7,,,,<31,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-01-20,2000,1,20,,-10.8,,-17.5,,-14.2,,32.2,,0,,0,,0.6,,0.2,,7,,33,,33,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-01-21,2000,1,21,,-17.5,,-23.7,,-20.6,,38.6,,0,,0,,0,T,0,T,7,,30,,46,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-01-22,2000,1,22,,-19.8,,-25.7,,-22.8,,40.8,,0,,0,,0,,0,,7,,28,,44,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-01-23,2000,1,23,,-13.8,,-23.8,,-18.8,,36.8,,0,,0,,1,,0.4,,7,,9,,33,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-01-24,2000,1,24,,-3.5,,-15.9,,-9.7,,27.7,,0,,0,,1.2,,0.5,,9,,,,<31,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-01-25,2000,1,25,,-5.8,,-16,,-10.9,,28.9,,0,,0,,4.4,,3.8,,7,,35,,46,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-01-26,2000,1,26,,-7.2,,-17.8,,-12.5,,30.5,,0,,0,,5,,1.8,,13,,33,,54,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-01-27,2000,1,27,,-13.5,,-20.4,,-17,,35,,0,,0,,0,,0,,15,,32,,52,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-01-28,2000,1,28,,-10.4,,-20.2,,-15.3,,33.3,,0,,0,,0,,0,,14,,29,,48,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-01-29,2000,1,29,,-3,,-18.6,,-10.8,,28.8,,0,,0,,0,,0,,14,,,,<31,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-01-30,2000,1,30,,-2.3,,-14.7,,-8.5,,26.5,,0,,0,,1.8,,1,,13,,,,<31,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-01-31,2000,1,31,,-0.4,,-6.9,,-3.7,,21.7,,0,,0,,5.8,,2.9,,17,,24,,33,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-02-01,2000,2,1,,-3.4,,-13.9,,-8.7,,26.7,,0,,0,,2.2,,1,,19,,32,,46,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-02-02,2000,2,2,,-11.1,,-18.6,,-14.9,,32.9,,0,,0,,0,T,0,T,20,,31,,41,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-02-03,2000,2,3,,-7.9,,-22.6,,-15.3,,33.3,,0,,0,,0,,0,,20,,,,<31,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-02-04,2000,2,4,,-7.8,,-19,,-13.4,,31.4,,0,,0,,0,,0,,20,,,,<31,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-02-05,2000,2,5,,-5.2,,-18,,-11.6,,29.6,,0,,0,,5.8,,3.8,,19,,33,,50,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-02-06,2000,2,6,,-3.9,,-16.9,,-10.4,,28.4,,0,,0,,0,,0,,24,,22,,61,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-02-07,2000,2,7,,-3.3,,-17,,-10.2,,28.2,,0,,0,,1.2,,0.4,,19,,32,,56,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-02-08,2000,2,8,,-4.9,,-19.5,,-12.2,,30.2,,0,,0,,0,,0,,20,,20,,41,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-02-09,2000,2,9,,1.2,,-11.3,,-5.1,,23.1,,0,,0,,4.8,,3.8,,20,,20,,48,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-02-10,2000,2,10,,-10.2,,-15.9,,-13.1,,31.1,,0,,0,,6.8,,6,,24,,8,,35,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-02-11,2000,2,11,,-5.4,,-14.7,,-10.1,,28.1,,0,,0,,4.6,,4,,35,,30,,32,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-02-12,2000,2,12,,-7.9,,-20.7,,-14.3,,32.3,,0,,0,,0,,0,,35,,,,<31,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-02-13,2000,2,13,,-7.5,,-15.9,,-11.7,,29.7,,0,,0,,8.4,,5.6,,35,,7,,35,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2000-02-14,2000,2,14,,-4.2,,-7.5,,-5.9,,23.9,,0,,0,,12.6,,7.4,,49,,6,,41,
