Longitude (x),Latitude (y),Station Name,Climate ID,Date,Year,Month,Day,Data Quality,valueMax,Max Temp Flag,valueMin,Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2011-01-01,2011,1,1,,9,,3.9,,6.5,,11.5,,0,,3.8,,0,,3.8,,1,,,,<31,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2011-01-02,2011,1,2,,8,,-4.7,,1.7,,16.3,,0,,0,T,0,T,0,T,0,T,25,E,48,E
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2011-01-03,2011,1,3,,-2.1,,-6.8,,-4.5,,22.5,,0,,0,,1,,0.2,,0,T,,,<31,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2011-01-04,2011,1,4,,-3,,-7.1,,-5.1,,23.1,,0,,0,,2.8,,1.6,,1,,,,<31,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2011-01-05,2011,1,5,,-4.1,,-10.3,,-7.2,,25.2,,0,,0,,0,T,0,T,3,,29,E,41,E
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2011-01-06,2011,1,6,,-3.8,,-11,,-7.4,,25.4,,0,,0,,1.4,,0.8,,2,,,,<31,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2011-01-07,2011,1,7,,-5.4,,-9.4,,-7.4,,25.4,,0,,0,,5.8,,3.2,,4,,8,E,46,E
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2011-01-08,2011,1,8,,-5.1,,-11.3,,-8.2,,26.2,,0,,0,,6.4,,3.2,,8,,,,<31,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2011-01-09,2011,1,9,,-7.3,,-10.5,,-8.9,,26.9,,0,,0,,0,T,0,T,14,,30,E,54,E
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2011-01-10,2011,1,10,,-7.1,,-11.7,,-9.4,,27.4,,0,,0,,0,,0,T,14,,28,E,33,E
