Longitude (x),Latitude (y),Station Name,Climate ID,Date,Year,Month,Day,Data Quality,valueMax,Max Temp Flag,valueMin,Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,1999-01-01,1999,1,1,,-18.7,,-25.7,,-22.2,,40.2,,0,,0,,0.6,,0.3,,10,,34,,33,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,1999-01-02,1999,1,2,,-16.3,,-26.3,,-21.3,,39.3,,0,,0,,0,T,0,T,10,,,,<31,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,1999-01-03,1999,1,3,,-4.5,,-16.3,,-10.4,,28.4,,0,,0.2,,24.8,,18.2,,25,,8,,41,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,1999-01-04,1999,1,4,,-6.4,,-18.8,,-12.6,,30.6,,0,,0,,1,,0.4,,36,,23,,41,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,1999-01-05,1999,1,5,,-11.4,,-22.7,,-17.1,,35.1,,0,,0,,0,T,0,T,36,,,,<31,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,1999-01-06,1999,1,6,,-5.1,,-14.6,,-9.9,,27.9,,0,,0,,3.4,,2.2,,34,,25,,33,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,1999-01-07,1999,1,7,,-6.7,,-20.4,,-13.6,,31.6,,0,,0,,0.2,,0,T,36,,31,,48,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,1999-01-08,1999,1,8,,-8.5,,-17.4,,-13,,31,,0,,0,,3.4,,2.7,,36,,,,<31,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,1999-01-09,1999,1,9,,-8.5,,-14.5,,-11.5,,29.5,,0,,0,,8,,4.8,,42,,29,,35,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,1999-01-10,1999,1,10,,-8.8,,-20.5,,-14.7,,32.7,,0,,0,,2.4,,1.2,,45,,,,<31,
