Longitude (x),Latitude (y),Station Name,Climate ID,Date,Year,Month,Day,Data Quality,valueMax,Max Temp Flag,valueMin,Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2009-01-01,2009,1,1,,-13.1,,-19.8,,-16.5,,34.5,,0,,0,,0,,0,,14,,31,E,32,E
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2009-01-02,2009,1,2,,-11.1,,-17.3,,-14.2,,32.2,,0,,0,,5.2,,3.4,,14,,,,<31,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2009-01-03,2009,1,3,,-9.3,,-13.4,,-11.4,,29.4,,0,,0,,0,T,0,T,19,,27,E,44,E
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2009-01-04,2009,1,4,,-9.2,,-15.7,,-12.5,,30.5,,0,,0,,0,T,0,T,19,,,,<31,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2009-01-05,2009,1,5,,-3.8,,-9.4,,-6.6,,24.6,,0,,0,,0.4,,0.4,,19,,,,<31,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2009-01-06,2009,1,6,,-3.3,,-11.3,,-7.3,,25.3,,0,,0,,0,T,0,T,18,,,,<31,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2009-01-07,2009,1,7,,-7.4,,-10.2,,-8.8,,26.8,,0,,0,,22.4,,14.8,,22,,6,E,48,E
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2009-01-08,2009,1,8,,-8.5,,-14.9,,-11.7,,29.7,,0,,0,,1.6,,0.7,,39,,29,E,46,E
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2009-01-09,2009,1,9,,-13.2,,-18.9,,-16.1,,34.1,,0,,0,,0,,0,,39,,,,<31,
-75.67,45.32,OTTAWA MACDONALD-CARTIER INT'L A,6106000,2009-01-10,2009,1,10,,-10.8,,-22.4,,-16.6,,34.6,,0,,0,,0,,0,,39,,,,<31,
