Longitude (x),Latitude (y),Station Name,Climate ID,Date,Year,Month,Day,Data Quality,valueMax,Max Temp Flag,valueMin,Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-01-01,2020,1,1,,4.4,,-0.8,,1.8,,16.2,,0,,0.2,,0.2,,0.4,,1,,29,,46,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-01-02,2020,1,2,,1.9,,-2.1,,-0.1,,18.1,,0,,0,,0,,0,,,,29,,55,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-01-03,2020,1,3,,5.2,,-1.9,,1.7,,16.3,,0,,0,,0,,0,,1,,,M,,M
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-01-04,2020,1,4,,4.3,,0.2,,2.3,,15.7,,0,,0,,0.4,,0.2,,1,,,M,,M
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-01-05,2020,1,5,,0.2,,-5,,-2.4,,20.4,,0,,0,,13.5,,10.9,,11,E,33,,74,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-01-06,2020,1,6,,-5,,-7.4,,-6.2,,24.2,,0,,0,,0.4,,0.2,,13,,31,,50,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-01-07,2020,1,7,,0.6,,-7.8,,-3.6,,21.6,,0,,0,,1.2,,1,,12,,15,,33,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-01-08,2020,1,8,,-1.9,,-4.8,,-3.4,,21.4,,0,,0,,30.4,,20.4,,13,,32,,48,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-01-09,2020,1,9,,-4.6,,-12.9,,-8.8,,26.8,,0,,0,,1.8,,1.1,,38,,32,,74,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-01-10,2020,1,10,,2.8,,-14.8,,-6,,24,,0,,1.2,,0.2,,1.4,,36,,19,,46,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-01-11,2020,1,11,,9.8,,2.3,,6.1,,11.9,,0,,0.6,,0,,0.6,,13,,23,,52,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-01-12,2020,1,12,,9,,-4.6,,2.2,,15.8,,0,,18.2,,0.2,,18.4,,3,,1,,46,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-01-13,2020,1,13,,-4.5,,-6,,-5.3,,23.3,,0,,0,,0.6,,0.6,,1,,36,,39,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-01-14,2020,1,14,,-2.5,,-5.4,,-4,,22,,0,,0,,0.8,,0.6,,1,,,M,,M
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-01-15,2020,1,15,,-0.6,,-5.3,,-3,,21,,0,,0,,2.6,,2.2,,1,,33,,55,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-01-16,2020,1,16,,-4.4,,-7.5,,-6,,24,,0,,0,,6.8,,5.1,,2,,35,,65,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-01-17,2020,1,17,,-5.4,,-17.6,,-11.5,,29.5,,0,,0,,4.4,,2.8,,9,,34,,87,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-01-18,2020,1,18,,-12.1,,-17.8,,-15,,33,,0,,0,,0,T,0,T,10,,33,,52,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-01-19,2020,1,19,,0.2,,-14.3,,-7.1,,25.1,,0,,0.2,,13.4,,12,,11,,11,,63,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-01-20,2020,1,20,,-3.1,,-12.1,,-7.6,,25.6,,0,,0,,0,T,0,T,12,,1,,39,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-01-21,2020,1,21,,-10.8,,-15.4,,-13.1,,31.1,,0,,0,,0.2,,0.2,,12,,34,,32,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-01-22,2020,1,22,,-4.3,,-15.8,,-10.1,,28.1,,0,,0,,0,,0,,12,,,M,,M
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-01-23,2020,1,23,,2.7,,-6.5,,-1.9,,19.9,,0,,0,,0,,0,,9,,25,,39,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-01-24,2020,1,24,,1.1,,-5.4,,-2.2,,20.2,,0,,0,,0,,0,,8,,,,,M
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-01-25,2020,1,25,,-0.4,,-8.8,,-4.6,,22.6,,0,,0,,0,T,0,T,8,,12,,37,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-01-26,2020,1,26,,6.8,,-1.5,,2.7,,15.3,,0,,26,,0,,26,,7,,14,,67,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-01-27,2020,1,27,,4.3,,-0.3,,2,,16,,0,,0.9,,0,,0.9,,2,,23,,39,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-01-28,2020,1,28,,-0.3,,-4.5,,-2.4,,20.4,,0,,0,,0.2,,0.2,,2,,36,,50,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-01-29,2020,1,29,,-2.7,,-12.4,,-7.6,,25.6,,0,,0,,0.4,,0.2,,2,,36,,58,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-01-30,2020,1,30,,-7.4,,-10.9,,-9.2,,27.2,,0,,0,,0,T,0,T,2,,34,,55,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-01-31,2020,1,31,,2.8,,-10.3,,-3.8,,21.8,,0,,0,,0,,0,,2,,30,,52,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-02-01,2020,2,1,,0.6,,-6.9,,-3.2,,21.2,,0,,0,,3.6,,3.4,,2,,2,,32,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-02-02,2020,2,2,,-1.2,,-6.4,,-3.8,,21.8,,0,,0,,2.4,,2.2,,6,,34,,52,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-02-03,2020,2,3,,1.8,,-5.7,,-2,,20,,0,,0,,0,,0,,6,,30,,42,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-02-04,2020,2,4,,3.3,,-2.9,,0.2,,17.8,,0,,0,,0,T,0,T,5,,31,,37,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-02-05,2020,2,5,,0.8,,-9.4,,-4.3,,22.3,,0,,0,,0,,0,,4,,28,,55,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-02-06,2020,2,6,,-2.4,,-11.2,,-6.8,,24.8,,0,,1.6,,5.6,,7,,3,,,,,M
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-02-07,2020,2,7,,9.3,,-2.9,,3.2,,14.8,,0,,18.4,,0,T,18.4,,6,,22,,105,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-02-08,2020,2,8,,,M,,M,,M,,M,,M,0,,0.2,,0.2,,3,,26,,81,
-63.51,44.88,HALIFAX STANFIELD INT'L A,8202251,2020-02-09,2020,2,9,,-4.8,,-13.7,,-9.3,,27.3,,0,,0,,0,,0,,3,,31,,42,
