Longitude (x),Latitude (y),Station Name,Climate ID,Date,Year,Month,Day,Data Quality,valueMax,Max Temp Flag,valueMin,Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-01-01,2004,1,1,,0.9,,-8.3,,-3.7,,21.7,,0,,0,,0,,0,,5,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-01-02,2004,1,2,,-6,,-9.9,,-8,,26,,0,,0,,3,,3.2,,4,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-01-03,2004,1,3,,6.6,,-7.1,,-0.3,,18.3,,0,,4.6,,0,T,4.6,,7,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-01-04,2004,1,4,,6,,-6.6,,-0.3,,18.3,,0,,0,,0,,0,,6,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-01-05,2004,1,5,,-6.6,,-10.6,,-8.6,,26.6,,0,,0,,3.4,,3.8,,6,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-01-06,2004,1,6,,-8.8,,-13.9,,-11.4,,29.4,,0,,0,,0.8,,0.8,,8,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-01-07,2004,1,7,,-10.6,,-22.8,,-16.7,,34.7,,0,,0,,0.8,,0.8,,8,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-01-08,2004,1,8,,-20.6,,-25,,-22.8,,40.8,,0,,0,,0,,0,,7,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-01-09,2004,1,9,,-20.4,,-26.9,,-23.7,,41.7,,0,,0,,0,,0,,7,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-01-10,2004,1,10,,-19.6,,-25.4,,-22.5,,40.5,,0,,0,,0,,0,,6,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-01-11,2004,1,11,,-11.6,,-22.6,,-17.1,,35.1,,0,,0,,4.2,,3.4,,6,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-01-12,2004,1,12,,-12,,-16.4,,-14.2,,32.2,,0,,0,,2.4,,2.4,,12,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-01-13,2004,1,13,,-9.3,,-26.7,,-18,,36,,0,,0,,1.2,,1.2,,12,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-01-14,2004,1,14,,-23.9,,-28.3,,-26.1,,44.1,,0,,0,,0,,0,,8,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-01-15,2004,1,15,,-23.8,,-29.1,,-26.5,,44.5,,0,,0,,1.6,,1.6,,8,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-01-16,2004,1,16,,-13.9,,-24.8,,-19.4,,37.4,,0,,0,,1,,1,,7,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-01-17,2004,1,17,,-11.2,,-17.6,,-14.4,,32.4,,0,,0,,0,,0,,7,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-01-18,2004,1,18,,-7.7,,-12.1,,-9.9,,27.9,,0,,0,,3.8,,4,,9,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-01-19,2004,1,19,,-9.3,,-14.8,,-12.1,,30.1,,0,,0,,0.8,,0.8,,10,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-01-20,2004,1,20,,-10.8,,-14,,-12.4,,30.4,,0,,0,,0.2,,0.2,,9,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-01-21,2004,1,21,,-11.6,,-14.8,,-13.2,,31.2,,0,,0,,0.2,,0.2,,7,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-01-22,2004,1,22,,-3.1,,-17.4,,-10.3,,28.3,,0,,0,,3,,3.2,,8,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-01-23,2004,1,23,,-17.3,,-21.5,,-19.4,,37.4,,0,,0,,0,,0,,8,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-01-24,2004,1,24,,-20.8,,-24.5,,-22.7,,40.7,,0,,0,,0,,0,,8,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-01-25,2004,1,25,,-19,,-26.1,,-22.6,,40.6,,0,,0,,0,,0,,8,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-01-26,2004,1,26,,-19.6,,-25.7,,-22.7,,40.7,,0,,0,,0,,0,,7,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-01-27,2004,1,27,,-12.6,,-22.7,,-17.7,,35.7,,0,,0,,0,,0,,7,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-01-28,2004,1,28,,-7.9,,-14.6,,-11.3,,29.3,,0,,0,,0.6,,0.6,,7,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-01-29,2004,1,29,,-8,,-15,,-11.5,,29.5,,0,,0,,0,T,0,T,7,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-01-30,2004,1,30,,-14,,-16.1,,-15.1,,33.1,,0,,0,,0.6,,0.6,,7,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-01-31,2004,1,31,,-10.9,,-16.6,,-13.8,,31.8,,0,,0,,1.8,,1.8,,7,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-02-01,2004,2,1,,-6.1,,-12.3,,-9.2,,27.2,,0,,0,,0,T,0,T,7,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-02-02,2004,2,2,,-3.6,,-12.3,,-8,,26,,0,,0,,0,,0,,7,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-02-03,2004,2,3,,1.1,,-12.2,,-5.6,,23.6,,0,,0.8,,13.2,,14.2,,7,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-02-04,2004,2,4,,0,,-7.9,,-4,,22,,0,,0,,3,,2.4,,25,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-02-05,2004,2,5,,-7.3,,-13.7,,-10.5,,28.5,,0,,0,,0,T,0,T,22,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-02-06,2004,2,6,,-6.6,,-13.9,,-10.3,,28.3,,0,,0.4,,12,,12.4,,22,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-02-07,2004,2,7,,-5.6,,-15.3,,-10.5,,28.5,,0,,0.2,,2.2,,2.4,,19,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-02-08,2004,2,8,,-4.9,,-18.9,,-11.9,,29.9,,0,,0,,0,,0,,21,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-02-09,2004,2,9,,2.4,,-9.4,,-3.5,,21.5,,0,,0,,0,T,0,T,21,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-02-10,2004,2,10,,1.8,,-3.5,,-0.9,,18.9,,0,,0,,0.2,,0.2,,15,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-02-11,2004,2,11,,-2.3,,-15.5,,-8.9,,26.9,,0,,0,,0,T,0,T,15,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-02-12,2004,2,12,,-8.4,,-17.6,,-13,,31,,0,,0,,0.2,,0.2,,15,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-02-13,2004,2,13,,0,,-11.4,,-5.7,,23.7,,0,,0,,0.2,,0.2,,15,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-02-14,2004,2,14,,-1.7,,-19.6,,-10.7,,28.7,,0,,0,,0.4,,0.4,,14,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-02-15,2004,2,15,,-15.9,,-24,,-20,,38,,0,,0,,0,,0,,14,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-02-16,2004,2,16,,-11.3,,-19.9,,-15.6,,33.6,,0,,0,,0,,0,,13,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-02-17,2004,2,17,,-8.8,,-19.7,,-14.3,,32.3,,0,,0,,0,,0,,13,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-02-18,2004,2,18,,-1.9,,-17.5,,-9.7,,27.7,,0,,0,,0,,0,,13,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-02-19,2004,2,19,,-1.8,,-9.6,,-5.7,,23.7,,0,,0,,0.8,,0.8,,13,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-02-20,2004,2,20,,-0.2,,-9.2,,-4.7,,22.7,,0,,0,,0.2,,0.2,,13,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-02-21,2004,2,21,,1.5,,-1.3,,0.1,,17.9,,0,,1.4,,3.8,,5.2,,14,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-02-22,2004,2,22,,-0.6,,-6.5,,-3.6,,21.6,,0,,0,,1,,1,,13,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-02-23,2004,2,23,,-2.9,,-13.9,,-8.4,,26.4,,0,,0,,0,,0,,12,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-02-24,2004,2,24,,-4.9,,-17,,-11,,29,,0,,0,,0,,0,,12,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-02-25,2004,2,25,,0.1,,-15.7,,-7.8,,25.8,,0,,0,,0,,0,,12,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-02-26,2004,2,26,,-1.8,,-12.9,,-7.4,,25.4,,0,,0,,0,,0,,12,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-02-27,2004,2,27,,-1.1,,-14.9,,-8,,26,,0,,0,,0,,0,,12,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-02-28,2004,2,28,,4.3,,-9.1,,-2.4,,20.4,,0,,0,,0,,0,,12,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-02-29,2004,2,29,,5.5,,-0.8,,2.4,,15.6,,0,,0,,0,,0,,12,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-03-01,2004,3,1,,6.6,,-4.3,,1.2,,16.8,,0,,0,T,0,,0,T,11,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-03-02,2004,3,2,,8.7,,1.9,,5.3,,12.7,,0,,2,,0,,2,,8,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-03-03,2004,3,3,,4,,0.3,,2.2,,15.8,,0,,0,,0,,0,,4,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-03-04,2004,3,4,,3.7,,-0.3,,1.7,,16.3,,0,,0.4,,0.4,,0.8,,2,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-03-05,2004,3,5,,5.2,,0.7,,3,,15,,0,,21.2,,0,T,21.2,,2,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-03-06,2004,3,6,,7.5,,-2.1,,2.7,,15.3,,0,,0,T,0.2,,0.2,,1,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-03-07,2004,3,7,,0.5,,-4.3,,-1.9,,19.9,,0,,0,,0,,0,,1,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-03-08,2004,3,8,,0.5,,-3.7,,-1.6,,19.6,,0,,0,,0.4,,0.4,,0,T,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-03-09,2004,3,9,,0.4,,-5.9,,-2.8,,20.8,,0,,0,,0,,0,,0,T,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-03-10,2004,3,10,,4.9,,-7.2,,-1.2,,19.2,,0,,0,,0,,0,,0,T,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-03-11,2004,3,11,,7.2,,-5.2,,1,,17,,0,,0,,0,,0,,0,T,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-03-12,2004,3,12,,5.5,,-5.6,,-0.1,,18.1,,0,,0,,0.2,,0.2,,0,T,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-03-13,2004,3,13,,-2.4,,-9.5,,-6,,24,,0,,0,,0.4,,0.4,,0,T,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-03-14,2004,3,14,,2.2,,-9.5,,-3.7,,21.7,,0,,0,T,0.2,,0.2,,0,T,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-03-15,2004,3,15,,4.9,,-5.7,,-0.4,,18.4,,0,,0.2,,0,T,0.2,,0,T,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-03-16,2004,3,16,,-6.5,,-8.8,,-7.7,,25.7,,0,,0,,0,,0,,0,T,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-03-17,2004,3,17,,-2.8,,-8.9,,-5.9,,23.9,,0,,0,,0,,0,,0,T,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-03-18,2004,3,18,,-1.9,,-9.4,,-5.7,,23.7,,0,,0,,1,,1,,0,T,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-03-19,2004,3,19,,-0.3,,-7.9,,-4.1,,22.1,,0,,0,,0,T,0,T,0,T,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-03-20,2004,3,20,,1.5,,-4.7,,-1.6,,19.6,,0,,0.4,,3.6,,4.8,,0,T,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-03-21,2004,3,21,,2.3,,-10.5,,-4.1,,22.1,,0,,0,T,1,,1.6,,0,T,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-03-22,2004,3,22,,-8.3,,-16.1,,-12.2,,30.2,,0,,0,,0,,0,,1,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-03-23,2004,3,23,,1.3,,-10.7,,-4.7,,22.7,,0,,0,,4,,3,,2,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-03-24,2004,3,24,,3.6,,-13.8,,-5.1,,23.1,,0,,0,,0,,0,,3,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-03-25,2004,3,25,,6.2,,-1,,2.6,,15.4,,0,,6.4,,0,,6.4,,0,T,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-03-26,2004,3,26,,14.8,,4.7,,9.8,,8.2,,0,,13,,0,,13,,0,T,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2004-03-27,2004,3,27,,8.5,,2.6,,5.6,,12.4,,0,,0,,0,,0,,0,T,,,,
