Longitude (x),Latitude (y),Station Name,Climate ID,Date,Year,Month,Day,Data Quality,valueMax,Max Temp Flag,valueMin,Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2011-01-01,2011,1,1,,7.5,,1.6,,4.6,,13.4,,0,,2.2,,0,,2.2,,4,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2011-01-02,2011,1,2,,8.4,,-2.6,,2.9,,15.1,,0,,1.6,,0,,1.6,,2,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2011-01-03,2011,1,3,,-1.2,,-6.1,,-3.7,,21.7,,0,,0,,0,T,0,T,2,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2011-01-04,2011,1,4,,-3.4,,-9.3,,-6.4,,24.4,,0,,0,,2.4,,2,,2,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2011-01-05,2011,1,5,,-3.4,,-9,,-6.2,,24.2,,0,,0,,0,T,0,T,3,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2011-01-06,2011,1,6,,-5,,-11.3,,-8.2,,26.2,,0,,0,,0.6,,0.6,,3,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2011-01-07,2011,1,7,,-4,,-8,,-6,,24,,0,,0,,1,,1,,3,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2011-01-08,2011,1,8,,-3.1,,-9,,-6.1,,24.1,,0,,0,,0,T,0,T,3,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2011-01-09,2011,1,9,,-2.8,,-8.9,,-5.9,,23.9,,0,,0,,3.2,,3.2,,3,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2011-01-10,2011,1,10,,-6.9,,-9.7,,-8.3,,26.3,,0,,0,,0.2,,0.2,,3,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2011-01-11,2011,1,11,,-6.9,,-8.8,,-7.9,,25.9,,0,,0,,0,T,0,T,3,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2011-01-12,2011,1,12,,-4.4,,-9.2,,-6.8,,24.8,,0,,0,,0,T,0,T,3,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2011-01-13,2011,1,13,,-6.1,,-9.5,,-7.8,,25.8,,0,,0,,0,T,0,T,3,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2011-01-14,2011,1,14,,-6.8,,-11.2,,-9,,27,,0,,0,,0,T,0,T,3,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2011-01-15,2011,1,15,,-7.8,,-14.9,,-11.4,,29.4,,0,,0,,9.4,,7.2,,3,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2011-01-16,2011,1,16,,-9.7,,-19,,-14.4,,32.4,,0,,0,,0.4,,0.4,,8,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2011-01-17,2011,1,17,,-13.7,,-23.4,,-18.6,,36.6,,0,,0,,0,,0,,8,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2011-01-18,2011,1,18,,0.1,,-15.4,,-7.7,,25.7,,0,,0,,3.6,,3.2,,7,,,,,
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2011-01-19,2011,1,19,,-3.9,,-10.2,,-7.1,,25.1,,0,,0,,0.4,,0.4,,8,,,,,
