Longitude (x),Latitude (y),Station Name,Climate ID,Date,Year,Month,Day,Data Quality,valueMax,Max Temp Flag,valueMin,Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2016-01-01,2016,1,1,,0.4,,-4,,-1.8,,19.8,,0,,,M,,M,0.2,,14,,27,,50,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2016-01-02,2016,1,2,,1.2,,-4.3,,-1.6,,19.6,,0,,,M,,M,0.7,,14,,25,,41,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2016-01-03,2016,1,3,,0.8,,-14.3,,-6.8,,24.8,,0,,,M,,M,4.1,,14,,33,,41,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2016-01-04,2016,1,4,,-13.4,,-22.1,,-17.8,,35.8,,0,,,M,,M,0.2,,17,,35,,39,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2016-01-05,2016,1,5,,-6,,-22.1,,-14.1,,32.1,,0,,,M,,M,0,,18,,23,,37,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2016-01-06,2016,1,6,,0.3,,-11.1,,-5.4,,23.4,,0,,,M,,M,0,,18,,23,,35,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2016-01-07,2016,1,7,,0.1,,-8.5,,-4.2,,22.2,,0,,,M,,M,0,,18,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2016-01-08,2016,1,8,,2.3,,-7,,-2.4,,20.4,,0,,,M,,M,0,,18,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2016-01-09,2016,1,9,,3.9,,1.7,,2.8,,15.2,,0,,,M,,M,2.9,,17,,16,,39,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2016-01-10,2016,1,10,,7.8,,-0.7,,3.6,,14.4,,0,,,M,,M,9.9,,8,,24,,82,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2016-01-11,2016,1,11,,-0.7,,-11.5,,-6.1,,24.1,,0,,,M,,M,0,,3,,25,,82,
